,id,cari,mig,sex,age,fam_size,rural_urban
3218,174622730,2,0,Man,83,5,Urban
3219,174622725,1,1,Woman,23,4,Urban
3220,174622724,2,0,Woman,63,2,Urban
3221,174622696,1,1,Woman,49,3,Urban
3222,174622691,1,0,Woman,54,2,Urban
3223,174622685,1,1,Woman,39,6,Urban
3224,174622682,1,1,Man,24,2,Urban
3225,174622674,2,1,Man,53,2,Rural
3226,174622670,2,1,Woman,21,5,Rural
3227,174622666,2,1,Woman,36,5,Rural
3228,174622661,2,1,Woman,30,3,Rural
3229,174622283,2,0,Woman,63,3,Rural
3230,174622267,1,0,Woman,55,6,Rural
3231,174622230,1,1,Woman,20,4,Rural
3232,174622218,2,1,Woman,21,4,Rural
3233,174621942,2,1,Woman,45,3,Rural
3234,174621935,1,0,Woman,68,5,Rural
3235,174621927,2,1,Woman,45,3,Rural
